Каково русское название книги, из которой взят этот текст?;Python. Карманный справочник
Как перебирать ключи словаря в Python 3.X?;Использовать for ключ in D или for ключ in D.keys(), так как keys() возвращает итерируемое представление.
Как перебирать ключи словаря в отсортированном порядке?;Использовать for ключ in sorted(D), начиная с версии 2.4.
Что делает выражение X = A or B or None?;Присваивает переменной X первый истинный объект A или B, или None, если оба ложны.
Как поменять местами значения двух переменных без промежуточного присваивания?;Использовать выражение X, Y = Y, X.
Как присвоить ряд целочисленных значений в виде перечисления имен?;Использовать red, green, blue = range(3).
Для чего используются операторы try/finally?;Для выполнения произвольного кода завершения, например, для блокируемых операций (получение и снятие блокировки).
Для чего используются операторы with/as?;Для выполнения кода завершения, характерного для объектов, поддерживающих протокол диспетчера контекста (например, автоматическое закрытие файлов).
Как представить результаты итерируемых объектов в диалоговом режиме и обеспечить правильность их многократного обхода?;Заключить итерируемые объекты в оболочку вызываемой функции list().
Как выполнить самопроверку прикладного кода или вызвать главную функцию в конце файлов модулей?;Использовать форму if __name__ == '__main__':.
Как загрузить содержимое файла в одном выражении?;Использовать data = open(filename).read().
Как перебирать текстовые файлы по строкам, начиная с версии 2.2?;Использовать for строка in файл.
Как извлечь аргументы командной строки?;Использовать атрибут sys.argv.
Как получить доступ к параметрам настройки среды исполнения командной оболочки?;Использовать атрибут os.environ.
Какие потоки ввода-вывода являются стандартными?;sys.stdin, sys.stdout и sys.stderr.
Как вернуть список файлов, совпадающих с заданным шаблоном?;Вызвать функцию glob.glob(шаблон).
Как вернуть список файлов и подкаталогов по заданному пути?;Вызвать функцию os.listdir(путь).
Как обойти всё дерево каталогов в обеих версиях Python 2.X и 3.X?;Вызвать функцию os.walk().
Как выполнить команды из командной строки в сценариях Python?;Использовать os.system(командная_строка) или output = os.popen(командная_строка, 'r').read().
Как получить доступ к другим потокам ввода-вывода порожденной команды?;Через модуль subprocess в обеих версиях Python 2.X и 3.X.
Как сделать файл Python исполняемым сценарием на Unix-подобных платформах?;Добавить строку #!/usr/bin/env python или #!/usr/local/bin/python в начало файла и установить права доступа командой chmod.
Как выполняются файлы Python в Windows?;Благодаря зарегистрированным сопоставлениям файлов их можно выполнять щелчком по имени. В версии 3.3 программа запуска Windows также распознает Unix-стиль строк #!.
Какие функции используются для стандартных потоков ввода-вывода в Python?;Функции print() и input() (в Python 2.X: print и raw_input()) используют sys.stdin и sys.stdout.
Как перенаправить ввод-вывод в Python?;Присвоить sys.stdin и sys.stdout файлоподобным объектам или использовать форму print(..., file=F) в Python 3.X или print >> F, ... в Python 2.X.
Как установить кодировку для вывода текста в Unicode?;Установить переменную окружения PYTHONIOENCODING в utf8 или другую кодировку.
Как активировать изменения в языке Python, которые могут нарушить совместимость?;Использовать форму from __future__ import имя_языкового_средства.
Какие модули использовать для измерения производительности программ на Python?;Модули profile, time, timeit и cProfile.
Какие модули входят в стандартную библиотеку Python для автоматизированного тестирования?;Модули unittest (PyUnit) и doctest.
Как проверить пространства имен атрибутов объекта?;Использовать функцию dir([объект]).
Как получить неформатированные строки документации на объект?;Использовать функцию print(объект.__doc__).
Как получить справку по модулям, функциям и типам данных в Python?;Использовать функцию help([объект]). Например, help(str) для справки по типу str.
Как извлечь и отобразить строки документации на модули и функции?;Использовать команду pydoc из модуля PyDoc. В Python 3.2: python -m pydoc -b для браузерного интерфейса.
Какие утилиты используются для распространения программ на Python?;Distutils, пакеты .egg (eggs).
Какие сервисные программы используются для создания автономных исполняемых файлов Python?;PyInstaller, py2exe, cx_freeze, py2app.
Какие пакеты используются для автоматизации числовых и научных расчетов в Python?;NumPy, SciPy, Sage и стандартный модуль statistics в Python 3.4.
Какие инструменты используются для объектно-ориентированных баз данных в Python?;ZODB для хранения объектов по ключам, SQLObject и SQLAlchemy для объектно-реляционных преобразователей, MongoDB для JSON-баз данных.
Какие фреймворки используются для разработки веб-приложений на Python?;Django, App Engine, Web2py, Zope.
Какие среды веб-разработки упоминаются в тексте наряду с Pylons и TurboGears?;pe и прочие аналогичные среды веб-разработки.
Какой инструмент упоминается для автоматического генерирования связующего кода для применения библиотек на С и С++ в сценариях на Python?;SWIG и прочие аналогичные инструментальные средства.
Какие ИСР (интегрированные среды разработки) с ГПИ, редакторами текста, выделяющими синтаксис разным цветом, браузерами объектов, отладчиками упоминаются для разработки на Python?;ИСР IDLE, а также Python Win, Komodo, Eclipse, NetBeans.
Какие редакторы, помимо Emacs, поддерживают операции с исходным текстом программ на Python, включая автоматическую расстановку отступов и выделение синтаксиса разным цветом?;VIM и IDLE, а также большинство других редакторов.
Какой параметр командной строки следует указать при переносе программ из версии Python 2.X в версию 3.X для получения предупреждений о несовместимости?;Параметр командной строки -3.
Какой сценарий автоматически преобразует большую часть исходного кода из версии 2.X для выполнения в версии 3.Х?;Сценарий 2103.
Какая система предоставляет требуемый уровень совместимости кода из версий 2.Х и 3.Х?;Система SiX.
Какой сценарий автоматически преобразует большую часть исходного кода из версии 3.X для выполнения в версии 2.Х?;Сценарий 3f02.
Какая система также содействует совместимости исходного кода обеих версий Python?;Система pies.
Какой основной принцип Python упоминается в тексте?;Импорт нужных средств.
Какие слова следует употреблять в примерах исходного кода Python вместо традиционных слов foo и bar?;Слова Spam и eggs.
Какой веб-сайт является начальной страницей, посвященной языку Python?;http://www.python.org
На каком веб-сайте можно найти дополнительные инструментальные средства сторонних производителей для разработки программ на Python?;http://www.python.org/pypi
Что такое модуль dbm в Python?;Модуль dbm предназначен для работы с файловыми базами данных (key-value хранилища). Он предоставляет средства для открытия файлов (274), выполнения операций с файлами (275) и работы с аргументами (275).
Каково назначение модуля json в Python?;Модуль json предназначен для работы с данными в формате JSON. Он предоставляет средства для сериализации (кодирования) и десериализации (декодирования) JSON-данных (294).
Что предоставляет модуль os в Python?;Модуль os предоставляет средства для взаимодействия с операционной системой: административные средства (241), управление процессами (256, 259), работа с дескрипторами файлов (247), именами путей к файлам (251, 255), командной оболочкой (243), средой исполнения (245), а также константы переносимости (242). Основные функциональные возможности описаны на странице 240.
Для чего используется модуль pickle?;Модуль pickle предназначен для сериализации и десериализации объектов Python. Он предоставляет интерфейсы для сериализации (277) и десериализации (277) объектов, с примечаниями по применению (278).
Что такое модуль shelve в Python?;Модуль shelve предназначен для хранения объектов Python в файлах с доступом по ключу (аналогично dbm, но для произвольных объектов). Он предоставляет средства для открытия файлов (274), выполнения операций с файлами (275) и работы с аргументами (274).
Каково назначение модуля string?;Модуль string предоставляет функции и классы для работы со строками (237), включая константы (238). Его назначение описано на страницах 58 и 237.
Что предоставляет модуль sys?;Модуль sys предоставляет доступ к системным параметрам и функциям. Он содержит атрибуты и функции, описанные на страницах 225-236.
Для чего используется оператор assert?;Оператор assert предназначен для отладки и проверки условий. Его формат и назначение описаны на странице 132.
Что делает оператор nonlocal?;Оператор nonlocal позволяет изменять переменные из внешней (но не глобальной) области видимости вложенных функций. Его назначение и формат описаны на странице 116.
Какие существуют операторы цикла в Python?;В Python существуют операторы цикла for (назначение и формат на стр. 106) и while (назначение и формат на стр. 106).
Что такое пакеты в Python?;Пакеты в Python — это способ организации пространств имен через иерархию каталогов. Они предназначены для создания пространств имен (119), и их импорт описан на странице 119.
Какие правила именования переменных в Python?;Правила именования переменных в Python описаны на странице 92. Они включают использование букв, цифр и подчеркиваний, с учетом регистра и запрета на начало с цифры.
Что такое представления памяти (memory views) в Python?;Представления памяти (memory views) позволяют получать доступ к внутренним данным объектов без копирования. Их назначение и протокол описаны на странице 184.
Как создаются строковые литералы в Python?;Строковые литералы в Python создаются с использованием кавычек (одинарных, двойных или тройных). Особенности представления Unicode-строк описаны на странице 59, а создание литералов — на странице 39.
Что такое слабые ссылки (weak references) в Python?;Слабые ссылки позволяют ссылаться на объекты без увеличения счетчика ссылок, что помогает избежать циклических зависимостей. Их назначение описано на странице 214.
Какие встроенные типы данных есть в Python?;В Python есть встроенные типы данных: числовые (литералы на стр. 34, операции на стр. 36), строковые (разновидности на стр. 37), списковые (литералы на стр. 64), словарные (литералы на стр. 73), кортежные (литералы на стр. 77), множества (литералы на стр. 85), логические (назначение на стр. 88) и файловые (интерфейс на стр. 78).
Что такое Unicode в Python?;Unicode - это стандарт кодирования символов, который поддерживается в Python для представления текста на разных языках. В Python 2.X поддержка Unicode появилась с версии 2.0, а в Python 3.X строки по умолчанию являются Unicode-строками.
Какие есть режимы открытия файлов для ввода и вывода в Python?;Для ввода: режимы чтения ('r', 'rb' для двоичных файлов). Для вывода: режимы записи ('w', 'wb'), добавления ('a', 'ab') и создания ('x', 'xb').
В чем отличие текстовых и двоичных файлов в Python?;Текстовые файлы работают со строками и автоматически выполняют кодирование/декодирование, а двоичные файлы работают с байтами без преобразований.
Что такое файловые объекты в Python и их назначение?;Файловые объекты - это объекты Python, которые предоставляют интерфейс для работы с файлами. Они используются для чтения, записи и управления файлами через методы типа read(), write(), close().
Какие есть способы создания функций в Python?;Функции можно создавать с помощью оператора def и лямбда-выражений (анонимные функции).
Что такое генераторы в Python и как они определяются?;Генераторы - это функции, которые используют yield вместо return для возврата значений по одному, сохраняя состояние между вызовами. Определяются с помощью ключевого слова yield в теле функции.
Что такое декораторы функций в Python?;Декораторы - это функции, которые модифицируют поведение других функций или методов. Они используются для добавления функциональности без изменения исходного кода функции.
Что такое шаблоны регулярных выражений в Python?;Шаблоны регулярных выражений - это специальные строки, которые описывают паттерны для поиска и обработки текста. Используются с модулем re для сложных операций с текстом.
Какие основные особенности языка Python?;Python - интерпретируемый, высокоуровневый, объектно-ориентированный язык с динамической типизацией, автоматическим управлением памятью, простым и читаемым синтаксисом.
Что такое атрибуты файлов в Python?;Атрибуты файлов - это метаданные файлов, такие как имя, размер, время создания и модификации, права доступа, которые можно получить через методы файловых объектов или модуль os.
Что такое идиомы в контексте языка программирования Python?;Идиомы в Python — это общепринятые, эффективные и характерные для языка способы решения типичных задач программирования.
Какой уровень подготовки предполагает изучение идиом Python?;Промежуточный или опытный уровень.
Какие две основные темы рассматриваются в контексте идиом Python?;Прикладной интерфейс (API) базы данных SQL и язык программирования Python.
К какому предмету рассмотрения относятся идиомы в данном тексте?;К языку программирования Python.
Какова категория знаний, к которой относятся идиомы Python?;Программирование.
Для кого предназначена первая часть книги 'Просто о Vim'?;Для новичков, которые хотят понять, чем является Vim, и узнать, как его использовать.
Какие возможности Vim описываются во второй части книги?;Окна, вкладки, управление личной информацией, использование в качестве редактора для программиста, расширение с помощью плагинов и многое другое.
Где можно читать книгу 'Просто о Vim' онлайн?;Всю книгу можно читать онлайн.
Что делать, если в книге найдены опечатки?;Писать на почту.
Как можно приобрести отпечатанную книгу?;"Книгу можно приобрести для чтения в автономном режиме и для поддержки дальнейшего развития; также можно просто сделать пожертвования."
Какие форматы книги доступны для скачивания?;PDF (1.5MB) и Mediawiki XML dump (197K).
Что сказал Jay о книге?;Он использует Vim только 2/3 недели и говорит, что книга идеально подходит для начинающих, таких как он.
Что сказал Yosi Izaq о книге?;Книга очень хорошая и интересная, спасибо, что выложили её.
Что сказал Deepak о книгах Swaroop?;Они должны продаваться как горячие пирожки из-за их содержания.
Что сказал Joseph Sullivan о книге?;"Отлично, спасибо за напряженную работу; особенно понравилось, что всё начинается с основ, и он освежил память после нескольких лет использования Vim."
Что сказал 'wooden nickels' о Vim и книге?;Скачайте и установите Vim сразу, книга произведет революцию в сознании о текстовых редакторах.
Что сказал Josh Nichols о книге?;Нашёл много нового для себя, хотя использует Vim в течение многих лет.
Что сказал Raseel Bhagat о книге?;"Великая книга; из неё узнал, сколько ещё Vim может сделать."
Что сказал Hiran Venugopalan о книге?;"Одна из самых необходимых книг; никогда не видел большую часть возможностей Vim, спасибо за книгу."
Что сказал Anonymous о книге?;Хорошая книга, лучшее введение в сценарии Vim (написание плагинов, синтаксис файлов) из виденных.
Что сказал Eduard Fabra о книге?;"Книга очень хорошо написана, и сообщество Vim будет улучшать её через исправления и дополнения; отличная идея."
Кто рекомендовал книгу на официальном сайте Vim?;Bram Moolenaar (создатель VIM).
В каком году книга была в топе на Official Vim Tips вики?;В 2008 году, в декабре.
Под какой лицензией лицензирована книга?;Creative Commons Attribution-Share Alike 3.0 Unported.
Что разрешает лицензия?;"Свободно получать, копировать, устанавливать и передавать книгу; свободно изменять и адаптировать книгу при соблюдении следующих условий: авторство (указывать автора), и распространять производные работы под той же лицензией."
Какие условия действуют при изменении или опирании на эту работу?;Вы можете распространять полученное произведение только на условиях такой же или аналогичной лицензии на неё.
Что нужно делать при повторном использовании или распространении книги?;Вы должны ясно дать понять другие условия лицензии на эту книгу.
Может ли быть снято любое из вышеперечисленных условий?;Да, если у вас есть разрешение владельца авторских прав.
Что не ослабляет и не ограничивает эта лицензия?;Ничего в этой лицензии не ослабляет и не ограничивает моральные права автора.
Что должно быть указано в атрибутах согласно тексту?;Должна быть указана ссылка и ясно дано указание о том, что оригинальный текст можно взять из этого места.
Под какой лицензией представлены все коды скриптов в этой книге?;Под лицензией BSD 3-ей версии, если не указано иное.
Откуда были получены некоторые примеры текстов в этой книге?;Из http://en.wikipedia.org и http://en.wikiquote.org под GNU Free Documentation License.
Как должны быть оформлены авторские права вклада добровольцев?;Вклад добровольцев в эту книгу должен быть под этой же лицензией, и авторские права должны быть отнесены к главному автору этой книги.
Что говорится о переводах книги?;"Если вы заинтересованы в вычитывании или создании перевода на другие человеческие языки, см. раздел ""Переводы""."
Что такое Vim?;Vim - это компьютерная программа, используемая для создания и редактирования текстовых файлов. Она также предоставляет ряд возможностей, которые помогут вам делать это лучше.
Почему стоит выбрать Vim согласно тексту?;Потому что внесение многочисленных быстрых изменений становится намного легче с редактором, который помогает в этом, и Vim прекрасно справляется, гораздо лучше большинства текстовых редакторов и богатых текстовых процессоров.
Почему автор написал эту книгу?;Автор использовал Vim с колледжа, знал много функций, но хотел изучить больше, поэтому начал писать коллекцию статей для кристаллизации своего понимания и помощи другим.
Какие принципы автор старался сохранить при написании книги?;Принципы, которые автор постарался сохранить при написании книги, не указаны в данном тексте.
Какова основная цель заметок по Vim?;Простое изложение, акцент на примерах с практическими рекомендациями, информация для читателей разного уровня.
Что такое Vim?;Vim — это компьютерная программа для написания любого текста (список покупок, книга, программный код), одновременно простая и мощная.
В чем заключается простота Vim?;Простота позволяет легко начать работу, имеет минималистичный интерфейс для концентрации на основной задаче — писать, построена на нескольких основных концепциях.
Что означает мощность Vim?;"Многие вещи могут быть сделаны быстрее, лучше и легче; мощные средства делают не очень простые вещи возможными, следуя парадигме «Минимум усилий — максимум эффекта»."
Какова цель примеров сравнения Vim с обычным редактором?;Показать, как пользователь ответил бы на вопрос «Как бы я это сделал в используемом редакторе?».
Что такое Vimmers?;Это крутые пользователи Vim, которые извлекают максимальную пользу из Vim, что является целью книги.
Какую мантру повторяет автор, подводя итог?;Понятия, Примеры, Навык.
Каково состояние книги «1.0»?;"Книга находится в стадии разработки; конструктивные предложения приветствуются."
Где можно читать книгу онлайн или скачать?;На официальном сайте http://www.swaroopch.com/notes/Vim.
Какая цитата Майкла Крайтона приведена?;«Книги не пишутся, они переписываются, в том числе свои собственные. Одна из самых больших трудностей — признать, что после седьмой коррекции нужно еще что-то переписать.»
Какая цитата Антуана де Сент-Экзюпери приведена?;«Совершенство достигается не тогда, когда больше нечего добавить, а когда нечего отнять.»
Как переместить курсор вниз на 7 строк?;Нажмите 7j
Как удалить слово (именно слово)?;Нажмите dw
Как искать в файле слово, на котором в данный момент находится курсор?;Нажмите *
Как произвести поиск и замену только в строках с 50-й по 100-ю?;Выполнить: 50,100s/old/new/g
Что делать, если вы хотите посмотреть две разные части одного и того же файла одновременно?;Выполнить: sp ('split') для разделения показываемого
Что делать, если вы хотите открыть файл, имя которого прописано в текущем документе, и курсор стоит на нём?;Нажмите gf ('g'o 'f'ile) что означает для этого
Что делать, если вы хотите выбрать лучшую цветовую схему дисплея?;Выполнить: colorscheme desert, для выбора цветовой схемы 'desert' (моей любимой)
Что делать, если вы хотите, чтобы сочетание клавиш Ctrl-S сохраняло файл?;Выполните: nmap <c-s> :w<CR>. <CR> где это 'c'arriage 'r'eturn, т.е. возврат каретки
Что делать, если вы хотите сохранить все открытые файлы и изменённые вами настройки, чтобы вы могли продолжить редактирование позже?;Выполните: mksession ~/latest_session.vim, и откройте Vim в следующий раз вот так: vim -S ~/latest_session.vim
Что делать, если вы захотели увидеть ваш код с подсветкой синтаксиса?;Выполните: syntax on. Если Vim неправильно распознает язык, то используйте: set filetype=Wikipedia, к примеру
Что делать, если вы хотите исключить из просмотра некоторые части вашего файла с тем, чтобы вы могли сосредоточиться только на одной части?;Выполните: set foldmethod=indent, предполагается, что ваш файл имеет правильные отступы. Есть также и другие методы складывания
Что делать, если вы хотите открыть несколько файлов во вкладках?;Используйте: tabedit <file> для открытия нескольких файлов в 'tabs' (как в любимом браузере) и используйте ctrl-pgup/ctrl-pgdn для переключения между вкладками
Вы часто используете какие-то слова в документе. Как можно быстро вставлять их в следующий раз?;Нажмите ctrl-n и смотрите список завершений ('completions') для текущего слова, основанный на всех словах, которые вы используете в текущем документе. Или используйте :ab mas Maslow's hierarchy of needs для раскрытия аббревиатуры mas автоматически, когда вы наберете <space>
У вас есть какие-то данные, где только первые 10 символов в каждой строке являются полезными, а остальное уже не нужно для вас. Как вы получите эти данные?;Нажмите ctrl-v, выделите текст и нажмите y для копирования выделенных строк и столбцов текста
Что делать, если вы получили документ от кого-то, в котором все буквы находятся в верхнем регистре, это вас раздражает и вы хотите преобразовать их в нижний регистр?;В Vim, выполните следующее: :for i in range(0,line('$')) :call setline(i,tolower(getline(i))) :endfor. Более короткий способ сделать это же: запустить :%s#\(.\)#\l\1#g, но с другой стороны способ выше проще вспомнить. Существует ещё более простой способ: выбрать весь текст (ggVG) и использовать оператор u, чтобы конвертировать в нижний регистр, но это слишком легко и не так круто, как представленный выше способ заставить Vim делать это
Уф? Вы уже убеждены?;В этих примерах можно увидеть силу Vim в действии. Любой другой редактор сделает это безумно сложно для одинакового уровня функциональности. И тем не менее, удивительно, что вся эта мощь достигается так просто. Обратите внимание, что мы ни разу не использовали мышь в этих примерах. Это хорошо. Подсчитайте, сколько раз вы переносите руку между клавиатурой и мышью за день, и вы поймёте, почему это хорошо
Как установить Vim на Windows?;Зайдите на http://www.vim.org/download.php#pc, скачайте gvim72.exe Self-installing executable, запустите двойным кликом и установите как любую другую программу Windows.
Как установить Vim на Mac OS X?;Вы уже имеете установленную терминальную версию Vim. Запустите Finder → Applications → Utilities → Terminal, в терминале запустите 'vim' и нажмите Enter. Для графической версии скачайте последнюю версию Cocoa-based MacVim, распакуйте архив, скопируйте MacVim в каталог приложений.
Как установить Vim на Linux/BSD?;Обычно уже установлена минимальная консольная версия. Если нет, используйте системный пакетный менеджер: для Ubuntu/Debian Linux через 'aptitude', для Fedora через 'yum', для FreeBSD через 'pkg_add' или 'port', для openSuSE через 'yast'. Для графической версии установите пакет 'vim-gnome' или 'gvim'.
Как запустить Vim графической версией?;Windows: Start → Programs → Vim 7 → gVim. Mac OS X: Finder → Applications → MacVim. Linux/BSD: Applications → Accessories → GVim Text Editor, или Alt+F2 и введите 'gvim' и нажмите Enter.
Как запустить Vim терминальной версией?;Windows: Start → Run и введите 'vim', нажмите Enter. Mac OS X: Finder → Applications → Utilities → Terminal, введите 'vim'. Linux/BSD: Applications → Accessories → Terminal, или Alt+F2 и введите 'konsole'/'gnome-terminal', затем введите 'vim'.
Почему при запуске Vim нельзя сразу печатать текст?;Это нормально, всё будет объяснено через некоторое время. Vim имеет свои режимы, и после запуска вы находитесь в командном режиме, а не в режиме ввода.
В чем преимущество использования только клавиатуры в Vim?;Работа только с клавиатурой намного эффективнее, чем с мышью, и дает доступ ко всем функциям Vim.
Почему человек быстрее набирает текст и делает меньше ошибок при использовании клавиатуры?;Потому что нет лишних движений руки для переключения между клавиатурой и мышью, и нет переключения контекста в сознании при переносе руки.
Какую привычку рекомендуется взять для экономии движений руки?;Нужно взять за привычку использовать клавиатуру как можно больше.
Что такое режимы в Vim?;Vim имеет режимы для ввода текста, выполнения команд и т.д., позволяя переключать контекст в зависимости от задачи.
Почему начинающие пользователи считают Vim запутанным?;Из-за концепции режимов, которая часто приводится как причина, но сравнима с ездой на велосипеде: после привыкания становится легко.
Как решается проблема различия текста и команд в Vim?;С помощью нормального режима (для команд) и режима вставки (для ввода текста), переключаясь между ними.
Как переключиться в режим вставки в Vim?;Нажатием клавиши i.
Как переключиться в нормальный режим в Vim?;Нажатием клавиши <Esc>.
Почему решение с меню и комбинациями клавиш в традиционных редакторах не масштабируется?;Создание меню для сотен команд и их настройка становятся безумными и запутанными.
Как в Vim заменить 'from' на 'to' во всем документе?;Выполнить команду %s/from/to/g в нормальном режиме.
Что делать, если нужно заменить только в первых 10 строках с подтверждением каждой замены в Vim?;Использовать команду с диапазоном и флагом c, например :1,10s/from/to/gc.
Как в Vim заменить только в первых 10 строках?;Введите: 0,10s/from/to/gc (с опцией 'c' для подтверждения).
Какие режимы существуют в Vim?;Режим ввода (вставка), командный (нормальный) режим.
Как открыть файл для редактирования в Vim?;:edit hello.txt или :e hello.txt.
Как переключиться в режим вставки в Vim?;Нажмите i.
Как вернуться в нормальный режим из режима вставки?;Нажмите <Esc>.
Как сохранить файл в Vim?;:write или просто :w.
Как закрыть файл в Vim?;:quit или :q.
Что показывает Vim в нижнем левом углу при нахождении в режиме вставки?;-- INSERT --
